Comment,MLTD
"\""\""\""Example script to train model. ||  || The input CSV must have two columns: ||     1. filepaths of features ||     2. filepaths of corresponding labels ||  || TODO || ---- || - Dice coefficient for class 1 (brainmask) is sometimes NaN. This occurs when ||     Dice should be zero. || - Input of 1 * 128**3 is too large for 1080ti to train HighRes3DNet. It is OK ||     for MeshNet. This issue seems to be related to the `input_fn` used. || \""\""\""",Yes
TODO: add priors from existing Keras model.,Yes
TODO: can we test if the model is compiled? We lose the optimizer,Yes
TODO: if we can load weights after compiling model; load the most recent,Yes
TODO add permissions for all comicmodels and registrationRequest,Yes
TODO: This class should derive from ComicModelAdmin and not from GuardedModelAdmin,Yes
TODO: Add some model tests,Yes
TODO: This class is mostly duplicate from evaluation\/models.py.,No
TODO patient only images? Propose model change,No
TODO: Find a better way to support SavedModel. Exposing private attributes is,Yes
TODO include default_model & example.txt under resources\/,Yes
todo save model to iteration_0 folder as bin_model,Yes
todo major sophisticated automatic execution (check what is missing e.g. bin_model),Yes
TODO download non-packaged [example_entity_model](https:\/\/github.com\/Rostlab\/nalaf\/blob\/develop\/nalaf\/data\/example_entity_model),No
"raise ValueError(\""Model is not persisted; so training must be performed\"") # TODO is this true?",No
TODO This is the desired implementation; but the graphs are altered by the model to have duplicated reversed,No
"TODO (wardlt): Consider making \""num_*_features\"" funcs to simplify making a MEGNet model",Yes
TODO: check if the xml adheres to slicer execution model,Yes
TODO: check if the xml adheres to slicer execution model xml schema,Yes
TODO: check if xml adheres to slicer execution model xml schema,Yes
FIXME: Code to save and restore the model if Training is skipped,Yes
"\""\""\"" visualise.py ||  || Visualises the output from training a classifier. ||  || Supports both binary and multi class classifiers. ||  || Use cases: ||  - Visualising the output from training a model ||  - Viewing the output from running batch predictions on a dataset ||  || TODO: Order confusion matrix by most popular class to least popular class || TODO: Output file format in HTML. Always print to the screen. || TODO: Visualisation function should be different from function the output metrics || TODO: Wrap in a Visualiser interface for use in Surround || TODO: Support multiple ground truth and prediction columns || TODO: Add flag to output file with incorrect records. True by default. || TODO: Rename module to visualise_classifier.py ||  || TODO: Add a flag to set probability thresholds || TODO: Add a flag that describes each aspect of the generated report in human readable terminology ||  || \""\""\""",Yes
TODO: this should be the same for every model; given that you pass a config??,No
TODO: Fix bc it writes in the same folder several models,Yes
TODO: Fix to load the correct models,Yes
TODO: to train parts of the model in different device,Yes
# TODO: to train parts of the model in different device,Yes
"\""\""\"" || Classes for representing and processing probabilistic information. ||  || The L{FreqDist} class is used to encode X{frequency distributions}; || which count the number of times that each outcome of an experiment || occurs. ||  || The L{ProbDistI} class defines a standard interface for X{probability || distributions}; which encode the probability of each outcome for an || experiment.  There are two types of probability distribution: ||  ||   - X{derived probability distributions} are created from frequency ||     distributions.  They attempt to model the probability distribution ||     that generated the frequency distribution. ||   - X{analytic probability distributions} are created directly from ||     parameters (such as variance). ||  || The L{ConditionalFreqDist} class and L{ConditionalProbDistI} interface || are used to encode conditional distributions.  Conditional probability || distributions can be derived or analytic; but currently the only || implementation of the C{ConditionalProbDistI} interface is || L{ConditionalProbDist}; a derived distribution. ||  || The L{ProbabilisticMixIn} class is a mix-in class that can be used to || associate probabilities with data classes (such as C{Token} or || C{Tree}). ||  || @group Frequency Distributions: FreqDist || @group Derived Probability Distributions: ProbDistI; MLEProbDist; ||     LidstoneProbDist; LaplaceProbDist; ELEProbDist; HeldoutProbDist; ||     CrossValidationProbDist || @group Analyitic Probability Distributions: UniformProbDist || @group Conditional Distributions: ConditionalFreqDist; ||     ConditionalProbDistI; ConditionalProbDist || @group Probabilistic Mix-In: ProbabilisticMixIn || @sort: FreqDist; ProbDistI; MLEProbDist; LidstoneProbDist; LaplaceProbDist;  ||     ELEProbDist; HeldoutProbDist; CrossValidationProbDist; UniformProbDist; ||     ConditionalFreqDist; ConditionalProbDistI; ConditionalProbDist ||  || @todo: Better handling of log probabilities. || \""\""\""",Yes
TODO use Model 4 scoring instead of Model 5,Yes
TODO - last_model :=,No
TODO: adjust regexp for different models,Yes
"\""\""\""Temporary hack for decoding mtf_transformer models. ||  || This is a transformer implementation in regular TensorFlow which is || checkpoint-compatible with MtfTransformer for eval\/inference. ||  || The purpose of this model is to run inference on MtfTransformer models. || We are working on native decoding in MtfTransformer which will be faster and || cleaner. ||  || TODO(noam): Remove once we can decode in mtf. || \""\""\""",Yes
TODO serialize the entire tfidf model. We'll need it later  to create a sparseMatrixSimilarity object,Yes
"\""\""\"" || Latent Dirichlet Allocation (LDA) in Python; using all cores to parallelize and || speed up model training. ||  || The parallelization uses multiprocessing; in case this doesn't work for you for || some reason; try `LdaModel` which is an equivalent; but more straightforward and || single-core implementation. ||  || FIXME wiki timings ||  || This module allows both LDA model estimation from a training corpus and inference of topic || distribution on new; unseen documents. The model can also be updated with new documents || for online training. ||  || The core estimation code is based on the `onlineldavb.py` script by M. Hoffman [1]_; see || **Hoffman; Blei; Bach: Online Learning for Latent Dirichlet Allocation; NIPS 2010.** ||  || The algorithm: ||  || * is **streamed**: training documents may come in sequentially; no random access required; || * runs in **constant memory** w.r.t. the number of documents: size of the ||   training corpus does not affect memory footprint; can process corpora larger than RAM; and || * is **distributed**: makes use of a cluster of machines; if available; to ||   speed up model estimation. ||  || .. [1] http:\/\/www.cs.princeton.edu\/~mdhoffma || \""\""\""",No
FIXME : Meant to work for LDAModel; LdaVowpalWabbit right now. Make it work for others.,Yes
TODO: replace fit_lda_post with appropriate ldamodel functions; if possible.,Yes
TODO create show_topic in HdpModel and then test,Yes
TODO: this is duplication of code in LdaModel. Refactor.,Yes
TODO: this method is somewhat similar to the one in LdaModel. Refactor if possible.,Yes
TODO: This method is very similar to the one in LdaModel. Refactor.,Yes
TODO: Allow passing in full model path and only require one argument,Yes
TODO: Unset this once we don't want to support models previous models.,Yes
TODO: Remove this once we're not supporting models trained with thinc <6.9.0,Yes
TODO: fix load model,Yes
TODO: Multiply by the number of dimensions so it scales the number of models,Yes
TODO: fix broken model here,Yes
TODO: finish the tests once the main model is ready,Yes
TODO: should support parallelization at the model level,Yes
TODO: discuss how to standardize data for different model types,Yes
class Attachment(models.Model):  TODO,No
TODO for API use; pred_model and dim_reducer must be validated here again,Yes
TODO: Where to set this? Or; is this the same as Estimator.model_dir?,Yes
todo: recompute model,No
TODO: we can do this automatically when setting up the models by having,Yes
TODO: remove self.testing condition because model.summarize() is wiping out the weights,Yes
TODO - refector this function to accept model_name; instance; parent so it makes more sense,Yes
todo: without passing model it fails for missing best weights,Yes
TODO currently no support for vertical model parallel,Yes
Todo: required argument `model` is not used,Yes
todo: enabled since internally we wrap the model for optimizer step; this should be fixed,Yes
todo: think about better way without need to dump model to drive,Yes
todo: seems it does not work with quantized models - it returns 0.0,Yes
TODO: is there a better way than accessing trainer through model -> trainer?,Yes
TODO: disallow None pipeline (modify model selection case handling),Yes
TODO save model,No
TODO see openai baselines; model.py;  _mlp is so clean,No
TODO turn on save\/load model mode,Yes
TODO hack and set the eval model location inside info_space,Yes
TODO eval call using eval_model_prepath,Yes
TODO: incorporate into heuristic models,Yes
TODO: I don't like the redundancy here; i.e.; the model class is a key in,Yes
TODO: FrameModel needs to have a metaclass that knows how to map extractors,Yes
TODO: Move this into Model,Yes
TODO: This is used in analyze.extractor and model.frame. Can it be,No
TODO: I'm not sure the model module package is the appropriate place for this;,Yes
TODO: Remove import when statsmodels updates #18264,Yes
"\""\""\"" || Model Zoos. || TODO add shape size for each layer || \""\""\""",Yes
TODO ? link_vectors_to_models(self.vocab),No
TODO ? link_vectors_to_models(self.vocab) depr?,No
TODO: handle base model,Yes
"\""\""\"" || Todo: cross-check the F-value with stats model || \""\""\""",No
## TODO: intercept for all models,Yes
"\""\""\"" || Simple Gaussian Mixture model plotting example ||  || TODO: use the faithful dataset || \""\""\""",Yes
TODO store the best model in a variable named 'clf',Yes
FIXME in 1.2: parameter 'normalize' should be removed from linear models,Yes
TODO - DSG - transform data into model ready data. Must return list; where each element is an example.,Yes
TODO - DSG - load model from disk to memory,Yes
Todo score accumulation to check if this model is better than the saved one,Yes
combine column headers into one list #TODO: this is probably not neccessary as lists are combined at modelling,Yes
TODO: Estimate likelihood of jghj datasetjgj; given the model,Yes
TODO: maybe due to the initial embedding that has to be done; all inputs are given when defining the model;,Yes
TODO: maybe do not execute this line in the training model to save computation ? Maybe it wouldnt be executed anyway ?,Yes
TODO sample_posterior_predictive_w is currently only work for model with,No
TODO: cache bn for the same `meta_model` and `variational`.,Yes
TODO: Model based FS (random forest variable importance; ...); RFE,No
FIXME: irrespective of PyListModel check; this might\/should always,No
TODO: Implement filtering on the model,Yes
This is a simple implementation of Kipf & Welling's Semi-Supervised Classificaton with Graph Convolutional Networks in ICLR 2017; which propose a simple yet efficient model that extends convolutional neual network from the grid structured data we all familiar and like to graphs; like social network and knowledge graph. It starts from the framework of spectral graph convolutions and makes reasonable simplifications to achieve both faster training and higher prediction accuracy. It also achieves start-of-the-art classification results on a number of graph datasets like CORA; etc. \/TODO: elaborate.,No
TODO: loading model emb only work for genernal Embedding; not for ExternalEmbedding,No
"\""\""\""01. Predict depth from a single image with pre-trained Monodepth2 models || =========================================================================== ||  || TODO || \""\""\""",No
TODO: should use model instead of self.model,Yes
TODO replace this speedup implementation with nni.compression.torch.ModelSpeedup,Yes
TODO: how to get the actual model?,No
TODO: replace with actual models,Yes
TODO(ekl): move to rllib\/models dir,Yes
TODO: Have a separate model catalogue for bandits,Yes
TODO(sven): Add once ModelV1 is deprecated and we no longer cause circular,Yes
TODO(sven): Move `add_layer_norm` into ModelCatalog as,Yes
TODO: (sven) allow for having a default model config over many,Yes
TODO: (sven) move to models\/utils.py,Yes
TODO: (sven) hack; but works for `target_[q_]?model`.,Yes
TODO: modelpar currently broken on synthetic-sanity_check.yaml,No
TODO: arguments won't be saved in keras export model,Yes
todo: add test that use the same random seed with two models: a static chain,Yes
TODO: This feature seems to be a normalized version of the,No
TODO: If the categorical attributes are considered; this feature is,No
''' || Todo: || - Add categorical features || - Add method to FoldYielder to import other data into correct format; e.g. csv; root || - Make HEPAugFoldYielder able to augment targets as well || ''',Yes
TODO Decide how to handle missing features when deprocessing matrix data,Yes
FIXME we do this because context.feature is set dynamically in EE testing,Yes
TODO: check if stride of 2 causes alignment issues if the featuremap,Yes
TODO: add assert to varify feature map sizes match what's in config,Yes
TODO: If this is not true; the feature slicing should be differnet in the network building.,Yes
TODO: How to trim the auxiliary features? Align left or center?,Yes
TODO : add more feature with downsample?,Yes
FIXME: proper representation for arbitrary features,Yes
TODO: decompose postag into individual morphological features,Yes
FIXME: split features in multiple attributes,Yes
"\""\""\"" || WIP ||  || This file should contain classes (that behave like torch models); but they || implement the learning of classical learning algorithms like SVM and || RandomForest. ||  || Deep networks are amazing at learning features. However; I don't think it's || very useful to use linear logicstic regression as a classifier. In many cases I || think an SVM or a RandomForest might produce a superior classification model; || but this has yet to be shown. ||  || TODO: ||     - [ ] Classical Abstract API ||     - [ ] Integration with the FitHarn ||         - [ ] How do we swap netharn's backprop+SGD with sklearn's SVM and RandomForest fit methods? ||         - [ ] Netharn needs a \""classical\"" implementation of \""run\"". ||             - [ ] Simply use the data loader to load the data ||             - [ ] Defaults should encourage use with deep features. ||     - [ ] RandomForest ||     - [ ] SVM || \""\""\""",Yes
"\""\""\"" || Proof-of-concept for porting mmcv DataContainer concept to netharn. Depending || on how well this works these features might be useful as a standalone module or || to contribute to torch proper. ||  || References: ||     https:\/\/github.com\/open-mmlab\/mmcv\/blob\/master\/mmcv\/parallel\/data_container.py ||     https:\/\/github.com\/open-mmlab\/mmcv\/blob\/master\/mmcv\/parallel\/collate.py ||     https:\/\/github.com\/open-mmlab\/mmcv\/blob\/master\/mmcv\/parallel\/scatter_gather.py ||  || FIXME 0 dimension tensors || \""\""\""",Yes
TODO: Add information about the number of prototype cells and the feature size,Yes
FIXME: switch to layer.out_features?,Yes
FIXME: switch to layer.in_features?,Yes
FIXME  dict_key\u662Ffeature value;dict_value\u662Fsubspace-tree-root\u8282\u70B9,No
TODO: check if stride of 2 causes alignment issues if the feature map,Yes
TODO This is scaling samples. Perhaphs amend to give option to scale features as well.,Yes
todo: this is not completed. feature dimension must be the same as training data,Yes
todo: save features,Yes
TODO HANDLE DIFFERENT DATASETS FEATURES AND FIX OTHER THINGS (RUN TO SEE),Yes
TODO(rbharath): Untransform doesn't work properly for binary feature,Yes
"\""\""\""Meta-feature extractor wrapper for MFE R package. ||  || This module is a wrapper to MFE package. MFE is a meta-feature extractor || package building in R. ||  || Example: ||     TODO ||         $ python example_google.py ||  || Todo: ||     * Create an simple example ||     * Create a method to extract meta-features from csv files ||     * You have to also use ``sphinx.ext.todo`` extension ||  || \""\""\""",No
"\""\""\""EXtracts metafeatures from structured datasets. ||  || Todo: ||     More information here. || \""\""\""",Yes
"\""\""\""Module dedicated to extraction of General Metafeatures. ||  || Todo: ||     - Implement all metafeatures. ||     - Improve documentation. ||  || References: ||     1. \""Towards Reproducible Empirical Research in Meta-Learning\""; ||         Rivolli et al. URL: https:\/\/arxiv.org\/abs\/1808.10406 || \""\""\""",No
"\""\""\""Main module for extracting metafeatures from datasets. ||  || Todo: ||     - Improve documentation. ||     - Implement MFE class. || \""\""\""",Yes
"\""\""\""Main module for extracting metafeatures from datasets. ||  || Todo: ||     * Improve documentation. ||     * Implement MFE class. || \""\""\""",Yes
"\""\""\""Module dedicated to extraction of Information Theory Metafeatures. ||  || Todo: ||     * Implement metafeatures. ||     * Improve documentation. || \""\""\""",Yes
"\""\""\""Module dedicated to extraction of Landmarking Metafeatures. ||  || Todo: ||     * Implement metafeatures. ||     * Improve documentation. || \""\""\""",Yes
"\""\""\""Module dedicated to extraction of Statistical Metafeatures. ||  || Todo: ||     * Implement metafeatures. ||     * Improve documentation. || \""\""\""",Yes
TODO Add a stop at convergence feature,Yes
TODO: Maybe skip the FeatureUnion if `len(parents)==1` ?,Yes
"\""\""\"" || Surfit || ====== ||  ||  || Create a surface image from CT volume ||  || This script consists of three main steps: ||  ||     1. Denoise ||     2. Feature Enhancement ||     3. Surface Generation ||  ||  || 1. Denoise || ********** || TODO ||  || 2. Feature Enahncement || ********************** || TODO ||  ||  || 3. Surface Generation || ********************* || TODO ||  ||  ||  ||  ||  || \""\""\""",No
TODO: Should be using feature columns?,No
"\""\""\"" || Batch sizes: 32 = 5GB memory; 128 = 17GB ||  || The \""read -1 expected ...\"" errors are harmless and come from Docker. See https:\/\/github.com\/horovod\/horovod\/issues\/503 || Running Docker in privileged mode (docker run --privileged) solves the issue. ||  || Dataset handling: Lots of empty lines; use dataset.filter() to eliminate those. || For now; just grab one sentence. || TODO: Combine two segments into a single example. https:\/\/github.com\/google-research\/electra\/blob\/master\/build_pretraining_dataset.py || TODO: Add zero-padding for shorter sequences ||  || nlp feature request: Select from dataset with arbitrary slices || `nlp` package tutorial: https:\/\/colab.research.google.com\/github\/huggingface\/nlp\/blob\/master\/notebooks\/Overview.ipynb || \""\""\""",Yes
TODO write tests for feature extractor once class is written,Yes
TODO this should have options for window_wize; features to exclude; and anything else.,Yes
TODO: we can't handle modification features in,Yes
TODO because we use the API Gateway; this feature is not longer needed.,Yes
TODO: handle BindingFeatures and FragmentFeatures here,Yes
TODO: make it so that question counts are removed in generating features,Yes
(TODO): Perhaps create versions with different subsets of the features?,Yes
TODO: don't use most frequent bigrams; look by class via feature selection,Yes
TODO: add more external features like:,Yes
TODO: Alternative features; to integreate in bug_features.py,Yes
TODO: Try simply using all possible fields instead of extracting features manually.,Yes
TODO: Actually implement feature importance visualization for multiclass problems.,Yes
precision_nnz = 1. * np.count_nonzero(precision) \/ n_features # TODO: does this scaling make sense?,No
TODO Remove assumption of fbank features,Yes
TODO Confirm that the feature files exist. Create them if they don't.,Yes
TODO Make this None and infer feature_type from dimension of NN input layer.,Yes
TODO input checks on target and feature args,Yes
TODO implement compatibility checks between metadata and task: e.g. for tsc; if features are present,Yes
TODO include series-as-features transformers,Yes
TODO refactor Tabularizer as series-as-features composition meta-estimator;,Yes
TODO support sparse features,Yes
1 TODO Preprocess data? norm? if RR interval; last 4 features are pre; post; local and global RR,Yes
TODO export features;labels .csv?,No
0) TODO if feature_Selection:,No
feature usage # !TODO: Dangerous if max_depth is set to None; what happens then?,Yes
TODO: Record the column features in train df,Yes
TODO: Drop `suppress` - Was for `feature_engineer={}`,Yes
TODO: Add `FeatureEngineer` method called after `inverse_transform` to format as DataFrame,Yes
"\""\""\""This module defines mechanisms for managing an experiment's various datasets; and each datasets's || inputs; targets; and predictions. ||  || **Important Contents** ||  || In order to maintain the states of different datasets across all divisions of an experiment and || amid transformations that may be applied to the data via || :mod:`~hyperparameter_hunter.feature_engineering`; two main classes are defined herein: ||  || 1. :class:`BaseDataChunk`: ||  ||     * Logical separations between \""columns\"" of data for a given :class:`BaseDataset` ||     * Held and maintained by :class:`BaseDataset` and its descendants ||     * Three primary descendants of :class:`BaseDataChunk`: ||  ||         1. :class:`InputChunk`: Maintains a dataset's input data (and transformations) ||         2. :class:`TargetChunk`: Maintains a dataset's target data (and transformations) ||         3. :class:`PredictionChunk`: Maintains a dataset's predictions (and transformations) ||  ||     * Descendants of :class:`BaseDataChunk` should implement the eight \""on_<division>_<point>\"" ||       callback methods defined by :class:`~hyperparameter_hunter.callbacks.bases.BaseCallback` ||  ||         * Because :class:`BaseDataChunk` subclasses are isolated from the experiment; these methods ||           need not invoke their `super` methods; although they are allowed to if necessary ||  ||     * :class:`NullDataChunk` does nothing but mimic the normal :class:`BaseDataChunk` child structure ||  ||         * Used for :class:`BaseDataset` subclasses lacking a particular data chunk; such as: ||  ||             1) `TestDataset`'s `TargetChunk`; because the targets for a test dataset are unknown; or ||             2) `TrainDataset`'s `PredictionChunk`; because predictions are not made on training data ||  || 2. :class:`BaseDataset`: ||  ||     # TODO: ... ||  || **Dataset Attribute Syntax** ||  || The intricate subclass network bolstering the module's predominant :class:`BaseDataset` subclasses || may be intimidating at first; but don't worry; there's a shortcut. Follow these steps to ensure || proper syntax and a valid result when accessing data from a || :class:`~hyperparameter_hunter.experiments.CVExperiment`: ||  || 1. {`data_train`; `data_oof`; `data_holdout`; `data_test`} - Dataset attribute || 2. {`input`; `target`; `prediction`} - Data chunk || 3. [`T`] - Optional transformation || 4. {`d`; `run`; `fold`; `rep`; `final`} - Division; initial (`d`) or `final` data ||  || By stacking three values (four if following optional step \""3\"") from the above formula; you can || access all of the interesting stuff stored in the datasets from the comfort of your experiment or || :func:`~hyperparameter_hunter.callbacks.bases.lambda_callback`. ||  || Related || ------- || :mod:`hyperparameter_hunter.callbacks.bases` ||     This module defines the core callback method structure mirrored by :class:`BaseDataCore`. ||     Despite the strong logical connection to this module; it is important to remember that the only ||     actual connection between the two modules is in :mod:`hyperparameter_hunter.callbacks.wranglers` || :mod:`hyperparameter_hunter.callbacks.wranglers` ||     # TODO: ... Handlers for the `Dataset`s to invoke callback methods with required parameters ||     This module defines the callback classes that act as handlers for the descendants of ||     :class:`BaseDataset` || :mod:`hyperparameter_hunter.experiments` ||     # TODO: ... || \""\""\""",No
"TODO: Should target wranglers addition be contingent on `kwargs[\""feature_engineer\""].steps",Yes
TODO Add numbers in the final image to the feature channels.,Yes
TODO: min_num_of_features -> init argument,Yes
TODO: if wanna use time as a categorical feature,Yes
hps_dict.update({'dqn_input_feature_len':(FLAGS.dec_hidden_dim+FLAGS.max_dec_steps)}) # TODO: more test on this; if wanna use time as a categorical feature,Yes
TODO: a more flexible way to decide which feature maps to use,Yes
TODO:  self.init_std\/ math.sqrt(float(dim))  #self.params['feature_dim'],No
TODO: maybe replace numDownSlope instead with a different feature:,Yes
mfcc_delta = librosa.feature.delta(mfcc; width=5; order=1)    TODO,Yes
TODO Feature transform function.,Yes
TODO gazetteer features,Yes
Path to TODO file and feature cache:,No
Check for features TODO: THIS NEEDS TO BE CHANGED!,Yes
TODO: Avg feature importance foo all classifiers,Yes
[BETA] - TODO: select features 'manually',Yes
TODO: Look in to missing data ratios of disease-specific features,Yes
Todo: try to discriminate the feature map,Yes
TODO: Remove X% of the x_features,Yes
TODO: Return the features that were removed,Yes
TODO: FeatureUnion?,No
TODO check the feature_map_shape_list is consistent with,Yes
TODO: add more features,Yes
TODO: This logic needs to be checked. See if it works with multiple features.,Yes
TODO: extract prosodic features,Yes
TODO: test the feature,Yes
FIXME: change according to feature preprocessing. tip: for standardization; use,Yes
TODO add more Baidu-style features here,No
feature_np[index; length:] = 0  # TODO replace 0 by dict,Yes
feature_copy[index; length:] = 0  # TODO replace 0 by dict,Yes
TODO clean up all this to leverage built-in features of tokenizers,Yes
TODO: add tests for the following once they return features not matrixes:,Yes
TODO: Why are correlated features only pruned if the target is present?,Yes
Todo: At the moment; scaling and feature reduction converts ints to floats,No
todo: tests should include using custom (user speficied) features as well,Yes
todo: change the feature_na_method!,Yes
TODO: Optimize: When running multiple detectors feature extraction has to be done only once,Yes
TODO: Implement feature extraction parts of Magpie in python.,Yes
from rasterio.features import is_valid_geom #FIXME: wait for https:\/\/github.com\/mapbox\/rasterio\/issues\/1815 to be solved,Yes
TODO: test this with invalid features.,Yes
TODO: add following info: associated featuresets; models,Yes
TODO: Custom features script handling,Yes
TODO: Extract list of custom features from code,Yes
TODO: terminology? feature or observation?,Yes
FIXME: features? need to use extract from preprocess.py,Yes
TODO: prepare for a future where tgt features are possible,Yes
TODO: prepare for a future where tgt features are possible.,Yes
TODO: support these blacklisted features.,Yes
TODO: support these blacklisted features,Yes
TODO maybe add scrollbar feature for one supply\/demand list,Yes
TODO: Remove when FeatureHasher is implemented in PYPY,Yes
todo: refactor to reuse SeuuqnceOutputFeature.postprocess_results,Yes
todo tf2: hardcoding for a single output feature - need to generalize,Yes
output_last_hidden[output_feature_name] = decoder_last_hidden  #todo tf2 do we need this long-term give the above,Yes
set_feature(vocab_size=3);  # TODO fix,Yes
bag_feature(vocab_size=3);  # TODO fix,Yes
assert len(inputs.shape) == 2  # TODO: check correct inputs.shape as per sequence feature,Yes
todo revisit to see if can use output feature.postprocess_results(),Yes
todo tf2: encoder_obj should be passed to the sequenceinputfeature,Yes
todo maybe move code from add_feature_data here,Yes
TODO remove feature?,Yes
TODO: provenence feature based on Rule.STATETRANS? but seems that it is the only option for the AMR!,Yes
:TODO Add 6 low-level feature extraction,Yes
TODO: save feature as np,Yes
TODO: Subtract feature stats; run prediction,Yes
TODO: Get RandomizedLogistic (auto feature selection) working in place of linear,Yes
TODO Modify mu and sigma once feature scaling is built into the logistic regression,Yes
TODO: features simulation isn't launch each time we call simulate,Yes
TODO: check and correct also n_samples; n_features and cov_corr and features_scaling,Yes
TODO: features simulation isn't launch each time we call simulate,No
TODO rename image-features,Yes
TODO: add scrolling feature (currently disabled),Yes
Todo: generalize and move to features.core,No
"'' || def load_pdbbind_molecules(paths; dir_name=\""fingerprints\""): ||   \""\""\""Load dataset fingerprints and return fingerprints. ||   \""\""\"" ||   # TODO(rbharath): This is a total kludge. Clean up later. ||   dir_name = \""targets\"" ||   molecules = {} ||   for dataset_path in paths: ||     pickle_dir = os.path.join(dataset_path; dir_name) ||     pickle_files = os.listdir(pickle_dir) ||     if len(pickle_files) == 0: ||       raise ValueError(\""No Pickle Files found to load molecules\"") ||     for pickle_file in pickle_files: ||       with gzip.open(os.path.join(pickle_dir; pickle_file); \""rb\"") as f: ||         contents = pickle.load(f) ||         smiles; fingerprints; scaffolds; mol_ids = ( ||             contents[\""smiles\""]; contents[\""features\""]; ||             None; None) ||         for mol in range(len(contents[\""smiles\""])): ||           molecules[smiles[mol]] = {\""fingerprint\"": fingerprints[mol]; ||                                     \""scaffold\"": None; ||                                     \""mol_id\"": None} ||   return molecules  || '''",No
TODO: add pi_stack and cation_pi to feature_types (it's not trivial,No
TODO: add pi_stack and cation_pi to feature_types (it's not trivial,Yes
TODO: Allow the user to specify this feature,Yes
TODO: Refactor MissingDataVisualizer to make use of new features.,Yes
TODO: allow the user specified features to filter the dataset,Yes
FIXME use feature.crop(mode='center'; fixed=duration) instead,Yes
TODO: use new pytorch feature that handle sorting automatically,Yes
@TODO: return the feature,No
TODO: programmatically check wether these are indeed features (predict; correct),No
TODO let the user choose the feature indices of interest,Yes
TODO: this should use check_feature_type,No
TODO: Is this correct or should I return np.hstack((features; 1)) as,Yes
TODO: feature?,No
TODO (nakago): test feature extraction behavior...,No
TODO check if most_common feature really isn't that useful,No
TODO: this code is very similar to features.onsets.peak_picking();,No
TODO: inherit from features.Activations,Yes
TODO: refactor this to use new feature.tempo functionality,Yes
TODO: split the classes similar to madmom.features.onsets?,Yes
TODO: split the classes similar to madmom.features.beats?,Yes
TODO: Add some sort of check for duplicate feature names,Yes
TODO: evaluate cases when len(unique(feature))==2,Yes
TODO: check on the feature space approximation (V2),Yes
TODO: extend support to other forms of Vectorization schemes - Feature Hashing,Yes
TODO: weight tying? lexicon and all other features the RNN supports?!,No
TODO: enable caching to reuse features and resume computation,Yes
TODO: Not sure how this feature should work still...,Yes
TODO: Is this made obsolete by the FeatureExtractor?,Yes
TODO: Ensure only v2 Feature Columns are used.,Yes
TODO: Deserialized embedding feature column behavior is the,No
"\""\""\""Example script to train model. ||  || The input CSV must have two columns: ||     1. filepaths of features ||     2. filepaths of corresponding labels ||  || TODO || ---- || - Dice coefficient for class 1 (brainmask) is sometimes NaN. This occurs when ||     Dice should be zero. || - Input of 1 * 128**3 is too large for 1080ti to train HighRes3DNet. It is OK ||     for MeshNet. This issue seems to be related to the `input_fn` used. || \""\""\""",No
TODO: in the future; multi-channel features should be supported.,Yes
TODO implement separate test functions for each feature that is already implemented in test_generate,Yes
TODO decorator that checks features,No
TODO move to edge features,Yes
TODO investigate features,Yes
TODO this would be better written in the (entities) FeatureGenerator,Yes
TODO the following is better written here; instead of the FeatureDictionary as originally written,Yes
TODO Drop support for ignoring features,Yes
TODO: For dense; cast to Conv1D size e.g. (1; out_features).,Yes
TODO: Parse feature values to their real type here; e.g. parse ints or floats,Yes
